ticker,current_price,fiat_currency
ADA-EUR,0.65,EUR
ADA-GBP,0.55,GBP
ADA-INR,62.87,INR
ADA-JPY,106.09,JPY
ADA-USD,0.74,USD
BNB-EUR,596.45,EUR
BNB-GBP,502.79,GBP
BNB-INR,57946.64,INR
BNB-JPY,97777.50,JPY
BNB-USD,678.82,USD
BTC-EUR,93556.62,EUR
BTC-GBP,78864.48,GBP
BTC-INR,9089198.00,INR
BTC-JPY,15336853.00,JPY
BTC-USD,106476.35,USD
DOGE-EUR,0.19,EUR
DOGE-GBP,0.16,GBP
DOGE-INR,18.79,INR
DOGE-JPY,31.71,JPY
DOGE-USD,0.22,USD
DOT-EUR,3.94,EUR
DOT-GBP,3.32,GBP
DOT-INR,382.62,INR
DOT-JPY,645.61,JPY
DOT-USD,4.48,USD
ETH-EUR,2336.99,EUR
ETH-GBP,1969.99,GBP
ETH-INR,227042.89,INR
ETH-JPY,383105.72,JPY
ETH-USD,2659.72,USD
LTC-EUR,83.48,EUR
LTC-GBP,70.37,GBP
LTC-INR,8109.81,INR
LTC-JPY,13684.26,JPY
LTC-USD,95.00,USD
SOL-EUR,148.64,EUR
SOL-GBP,125.30,GBP
SOL-INR,14440.94,INR
SOL-JPY,24367.23,JPY
SOL-USD,169.17,USD
XRP-EUR,2.01,EUR
XRP-GBP,1.69,GBP
XRP-INR,195.05,INR
XRP-JPY,329.13,JPY
XRP-USD,2.28,USD
